writer_id,n_pairs,accuracy,threshold_name,split_id
6,47,0.8297872340425532,EER_balanced,3
20,47,0.7872340425531915,EER_balanced,3
21,47,0.8297872340425532,EER_balanced,3
25,47,0.851063829787234,EER_balanced,3
26,47,0.7446808510638298,EER_balanced,3
29,47,0.7659574468085106,EER_balanced,3
33,47,0.723404255319149,EER_balanced,3
40,47,0.6170212765957447,EER_balanced,3
50,47,0.8723404255319149,EER_balanced,3
6,47,0.6382978723404256,FAR_target_10%,3
20,47,0.6808510638297872,FAR_target_10%,3
21,47,0.723404255319149,FAR_target_10%,3
25,47,0.5957446808510638,FAR_target_10%,3
26,47,0.6382978723404256,FAR_target_10%,3
29,47,0.7659574468085106,FAR_target_10%,3
33,47,0.8297872340425532,FAR_target_10%,3
40,47,0.7021276595744681,FAR_target_10%,3
50,47,0.7446808510638298,FAR_target_10%,3
