model,accuracy,precision,recall,f1,roc_auc,FAR,FRR,threshold
siamese,0.7888,0.683991683991684,0.8773333333333333,0.7686915887850467,0.8982518518518517,0.2702222222222222,0.12266666666666666,-7.012048244476318
rf,0.7749333333333334,0.6872146118721462,0.8026666666666666,0.7404674046740467,0.8535754074074073,0.24355555555555555,0.19733333333333333,0.457120858394031
svm,0.7738666666666667,0.6750805585392051,0.838,0.7477691850089233,0.8568657777777778,0.2688888888888889,0.162,-0.11890901851393076
